Input Signal, Output Signal, Freq Scale, Mag Spec Input, Phase Spec Input, Impulse Resp, Freq Resp Mag, Freq Resp Phase, Mag Spec Out, Mag Phase Out
0.047302,0.000000,2413.268366,18.825043,1.384616,0.000000,-0.131359,1.495728,-18.739407,-0.404540,
-0.135162,-0.000000,2424.287856,17.034971,1.272120,0.000000,-0.132921,1.488066,-20.334105,-0.839943,
-0.284576,-0.000001,2435.307346,14.050657,1.006517,0.000000,-0.134465,1.480402,-31.516264,0.000000,
-0.369843,-0.000087,2446.326837,9.836715,0.160929,-0.000000,-0.135984,1.472735,-13.202995,0.174953,
-0.392212,0.009897,2457.346327,8.056285,-1.032211,-0.000000,-0.137479,1.465064,-14.818029,-0.239649,
-0.372070,-0.000000,2468.365817,14.751382,-1.227116,-0.000000,-0.138954,1.457391,-11.204185,-0.969458,
-0.327759,-0.000003,2479.385307,12.618041,-1.401744,-0.000000,-0.140406,1.449713,-5.466813,-1.448734,
-0.271027,0.000195,2490.404798,12.095962,-1.427571,0.000000,-0.141836,1.442033,5.618332,0.226175,
-0.213348,0.001368,2501.424288,17.336864,1.428796,0.000000,-0.143239,1.434349,0.317610,1.301474,
-0.157043,0.000000,2512.443778,15.392821,1.114683,0.000000,-0.144617,1.426662,-6.712278,-0.771343,
-0.100525,-0.000001,2523.463268,12.970228,1.170778,-0.000000,-0.145970,1.418971,-12.577161,-0.388830,
-0.045349,0.000005,2534.482759,13.732110,0.808860,-0.000000,-0.147298,1.411276,-17.078644,-0.327040,
-0.005524,0.000295,2545.502249,13.456897,0.794062,-0.000000,-0.148598,1.403577,-15.310952,-0.590048,
0.006073,-0.000000,2556.521739,6.727673,0.433695,0.000000,-0.149873,1.395875,-14.368381,-1.240197,
-0.004913,0.000000,2567.541229,3.533288,0.045839,0.000000,-0.151122,1.388169,-12.873413,0.312226,
-0.020020,-0.000005,2578.560720,-7.564099,1.002332,0.000000,-0.152340,1.380459,-12.260305,-1.532336,
-0.031494,0.000009,2589.580210,8.128451,-0.357330,0.000000,-0.153535,1.372745,-26.710123,-0.799994,
-0.041504,-0.045681,2600.599700,14.198965,-1.002233,-0.000000,-0.154699,1.365027,-15.977618,-1.534685,
-0.052460,0.000000,2611.619190,16.465103,-1.308370,-0.000000,-0.155834,1.357304,-15.454744,1.225441,
-0.071442,-0.000001,2622.638681,17.575630,1.411063,-0.000000,-0.156942,1.349578,-14.773488,0.486982,
